id,Conversion_to_Absolute,P0.05,P0.11,P0.16,P0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
ala__L_m,0.0544327111459664,0.0351774780477897,0.00159539630395802,-0.0739538095768884,0.0013779071755809801,-0.42769097559827796,-0.9180587381992379,-1.37128118158496,-1.4020115668854698,-0.8236151371520729,-1.13487662605107,-1.37492226923697,-1.73272804255825,-0.9967313167716271,0.103855173979384,0.261024480003723,2.21232873164241,2.36201274980399,2.1780400630613603,1.8224043673371002,1.20457238500085,1.26563949375676,0.8301774816814279,0.843034055175789,0.6979241386262479,0.489358647843593
amp_c,1.4988345758910199e-05,0.0592437862401291,-0.0920462278755257,-0.221613444968985,-0.537429213008642,-0.820293229010765,0.401123828413505,0.158512788604279,0.0304572734790564,0.0416405221761882,-0.795008539871889,-0.0459772387868453,-0.496955125327895,-0.308767058708732,-0.43399644808147403,-0.575187334214315,0.443735656699436,0.18478124561908602,-0.11523157634417301,-0.38009156071262395,-0.6173753410991739,-0.0206128181431604,-0.33457200487423605,-0.418703582719997,-0.6439571180230439,-0.7947884321265881
amp_m,1.4988345758910199e-05,0.0592437862401291,-0.0920462278755257,-0.221613444968985,-0.537429213008642,-0.820293229010765,0.401123828413505,0.158512788604279,0.0304572734790564,0.0416405221761882,-0.795008539871889,-0.0459772387868453,-0.496955125327895,-0.308767058708732,-0.43399644808147403,-0.575187334214315,0.443735656699436,0.18478124561908602,-0.11523157634417301,-0.38009156071262395,-0.6173753410991739,-0.0206128181431604,-0.33457200487423605,-0.418703582719997,-0.6439571180230439,-0.7947884321265881
arg__L_c,0.0309991946495851,-0.0102654600971495,0.231185812393132,-0.0237179369673385,-0.230325398710841,-1.0227961146677902,-3.57940214807383,-3.6907311665297997,-3.34341147857083,-2.8462053392064797,-1.7437293361847401,-5.035600275028321,-4.027535840616141,-3.2589663944892595,-1.32960640592375,-1.00366168746946,1.13867740051007,1.15686774799623,1.06356281975397,0.69047886665078,-0.36447727390874995,0.108631682140748,-0.110777884504211,0.031370097214727,0.138067324866694,0.00611663323109303
asn__L_c,0.00175423765072457,-0.139910651163128,-0.191947972830838,-0.388580152695668,-0.78431249691368,-1.1564544612141399,-0.45867841540632703,-0.8859805257270581,-0.8887718621517529,-0.6750293862010689,-0.549403222842059,-5.432525612223309,-4.6092966519128,-4.551877591239901,-3.2930366602937204,-2.7278951000591998,-1.68181836802663,-1.28286352007726,-0.123140034528438,0.30938247350692893,-0.119088086112905,-1.05490588057226,-0.922906519556934,-1.0223831719935301,-0.978252073148717,-0.86574344818484
asp__L_c,0.0342016180192328,0.0181393401631926,0.249743047801321,0.284719949318007,0.541776168742388,0.51778175577977,-1.33592099544797,-1.2235744628663798,-1.04196870514342,-0.766332950192074,-0.0316699481315767,-0.388820224098659,-0.30422316497016,0.144732809284949,0.9143800836057159,1.06390743622639,0.6194110404613571,0.7519634175298899,0.6861665013300591,0.6202787341661911,0.473637325221959,-0.0381554700976479,0.0789499770358709,0.19562043542799598,0.48779784858823605,0.640043324472905
atp_c,0.000183361590816802,-0.10919646803238,0.5285909701805961,0.8726848431034521,1.33822892951753,1.48256713801924,2.42649234709086,2.4907937837920002,2.5269316230921,2.47294920609811,2.28299919412927,1.25743606027707,1.48829594845875,1.4329602613427401,1.4485436547222799,1.41053013835626,1.66013353205764,1.85767109012412,2.1335978837631697,2.31466944739756,2.39827608035899,0.9833790333080921,0.9913821218676802,1.31278102150797,1.3813304954116499,1.42487623082607
atp_m,0.000183361590816802,-0.10919646803238,0.5285909701805961,0.8726848431034521,1.33822892951753,1.48256713801924,2.42649234709086,2.4907937837920002,2.5269316230921,2.47294920609811,2.28299919412927,1.25743606027707,1.48829594845875,1.4329602613427401,1.4485436547222799,1.41053013835626,1.66013353205764,1.85767109012412,2.1335978837631697,2.31466944739756,2.39827608035899,0.9833790333080921,0.9913821218676802,1.31278102150797,1.3813304954116499,1.42487623082607
cbp_c,,-0.00256908102917489,-0.0177442210335676,-0.0321463731238928,-0.0442308797633932,-0.037846631068205,0.0877851078209142,0.0720464549717941,0.0807000307402111,0.0799599598433661,0.127639384748958,-0.0110790372905586,-0.0336287420198257,0.0403444182328437,0.109234950663964,0.16471496379444198,-0.0105512666281428,0.00447581458054392,0.0164680739699247,0.0296583447889148,0.020419449917309,0.199939015812484,0.23153687022143,0.228610306757157,0.247197202115487,0.254135662945613
citr__L_c,0.00023299427347651803,-0.227950265771591,0.7067791398190841,0.6581784756071669,0.7728364300467301,0.512063189702435,1.22716839126971,1.33072390574639,1.9911309779911,1.9233758902732598,4.3495766297157,-4.36771682206139,-2.39712684509194,-1.30345067447846,1.67488127217219,2.83962589488507,1.0828739151645501,1.5942189680618,2.8502633287712205,3.3079135542411,2.46572681400732,-0.860064777421627,-0.0707719513203393,0.703929301813868,1.97329614649348,2.90120531118749
