,C0.05,C0.11,C0.16,C0.22,C0.30,L0.05,L0.11,L0.16,L0.22,L0.30,N0.05,N0.11,N0.16,N0.22,N0.30,P0.05,P0.11,P0.16,P0.22,P0.30,U0.05,U0.11,U0.16,U0.22,U0.30
EX_tyr__L_c,0.003976286484760956,0.009457472342685814,0.013315468772146715,0.01850898259653701,0.025808776674399625,0.006211418278045073,0.01391106308480392,0.01832312223715073,0.023184753176354968,0.0278291029834258,0.0035613039632499724,0.008584687853542662,0.012052221232119374,0.01848106175371589,0.0196526906411101,0.0041846515906900136,0.00869008948371318,0.012592720278737831,0.019310541432717567,0.02783884331746533,0.0035404668116070593,0.007513641835033193,0.010484499088999951,0.017158963567081537,0.02045644620495
EX_gln__L_c,0.004629205979347697,0.010694837897665338,0.015163287009708926,0.021857795533177682,0.031740040854525975,0.0037164064658432657,0.008544758071350828,0.013700600797702809,0.020956642992049343,0.02793990729314216,0.0037105434024980095,0.008981702747546219,0.012831678179905487,0.02091741283867696,0.02461569948182448,0.006108722422676703,0.012844597316602629,0.017263746793883476,0.025035106561421674,0.033873448935247984,0.003797433816287969,0.008331878093808616,0.011791457985876606,0.019346915966791486,0.024583809056154225
EX_phe__L_c,0.005133857040117817,0.012354467356104343,0.017429793684825848,0.0241341827083372,0.03395631030048736,0.0046422067380369894,0.010708796786583655,0.015952124187783183,0.02324130600297936,0.03206077717544868,0.004675319918437233,0.011273266592326078,0.015856868499770242,0.024347245945651786,0.026079971196236788,0.005421628821989957,0.011396195748061413,0.016522795713317724,0.025343736801880026,0.036721061462922436,0.004529698842059822,0.009819080652440894,0.013671804232880377,0.02253126749443841,0.02696850722585516
EX_pro__L_c,0.0071199689622042294,0.016374225812891163,0.02285704641134683,0.0319567241115048,0.04290517789804673,0.00522718580875376,0.011961080847497842,0.018289315887941027,0.027292068079920902,0.03856109722488076,0.005866799835279761,0.013990409901262572,0.0197759872150084,0.029939801792354743,0.03187403550352648,0.006462417559154153,0.013915780999504022,0.02029772584407421,0.03102003268706733,0.0450828172537232,0.005596602414626297,0.012137344362924121,0.016958371849530154,0.02782282020432211,0.033318469985231865
EX_ile__L_c,0.007390924447217872,0.017798835762631502,0.025108284168888075,0.03487031999904355,0.049164436309409316,0.005908503494994717,0.01412743563305259,0.022270536096370832,0.03386123243482333,0.048017598715522,0.006719230082906565,0.016201233324246802,0.02274275418570043,0.034846245134537136,0.03743648125717845,0.00766361004580609,0.0163867374053805,0.023960490706065686,0.03739461322330008,0.05455246109938765,0.006536668513458088,0.014263694152694429,0.019870795306434458,0.03271793715260131,0.03939265473458987
EX_thr__L_c,0.00736300768464221,0.017792955776509675,0.0251774449723941,0.034850837111465534,0.049957637970277684,0.006281318357118053,0.014464862744925531,0.021744482053678342,0.032333602046721074,0.04534158415028453,0.0067040791550073905,0.016326993587315725,0.02308953559249173,0.03568861654503335,0.03875709128212138,0.007534795199386262,0.0163247610269041,0.023824000093316457,0.03685961981341125,0.05340803180077956,0.006671825249146937,0.014490159532523462,0.02057494986317904,0.033550793661803656,0.04057088094405595
EX_ser__L_c,0.007546035001360069,0.017974451203387674,0.025511910708198964,0.035751372372830374,0.05278796089635679,0.006141502426839173,0.014183596819013284,0.022197389501867733,0.033560050894231794,0.04622491220295026,0.006520227559069607,0.015869338869070413,0.022560837352192317,0.03593938407789682,0.04098271707297236,0.008443643284297734,0.018032375637005216,0.02554170529775064,0.038758791179954934,0.054991645637495326,0.006384837879701396,0.014005497086038559,0.01976304847932172,0.03265746540650399,0.04049418411938666
EX_lys__L_c,0.010789608332518385,0.026153191121119083,0.0369330593153905,0.050827709707957816,0.07167157486061605,0.008111240066034631,0.019051039348741004,0.029640539160436075,0.04453056647635552,0.06384139192924924,0.009806346386800786,0.02382559710544615,0.033243251153041026,0.0500792286684749,0.05237760641368402,0.010688860613396682,0.023117983165608667,0.03391461207446975,0.0520292603727866,0.0763517825965527,0.009366856194705859,0.020532176191200617,0.028464077322414818,0.04730088417294883,0.05628739997595858
EX_arg__L_c,0.006692173297726486,0.015919554021780576,0.02290051659014956,0.03288403808250265,0.054788037477978134,0.018841817918946846,0.03830754816589694,0.048204654215844966,0.06279170186025555,0.062204503854188825,0.0057350459011140855,0.01443406579242304,0.02120665191830344,0.0395297337041185,0.05083124821192797,0.01385043376896375,0.0302481290342346,0.03859530851288148,0.057010607238589674,0.06515708959097788,0.012754500421860002,0.024189226680128715,0.04104240267591655,0.0555809186746795,0.0705514271456088
EX_val__L_c,0.01054618872320088,0.025200915402235742,0.03562802661713177,0.0504849829594951,0.07122365350922816,0.010318761299562058,0.023669738006023844,0.034790113628634475,0.05140162239692578,0.07016368209060724,0.009626108594703302,0.02287372773145859,0.033195484094967524,0.05402250520470829,0.06134333607633215,0.011612745344118791,0.02574932137710109,0.037397212513402375,0.059557316635211674,0.08319140276670314,0.009706002056664996,0.02089401155232496,0.029842521181070523,0.04820423688958566,0.05935449146821685
